Annual_Income,Monthly_Spend
152,106977.0,8686.0
153,98260.0,7872.0
154,77845.0,7985.0
155,86126.0,7198.0
156,100135.0,7985.0
157,84339.0,7769.0
158,93551.0,8258.0
159,96197.0,7338.0
160,82585.0,8415.0
161,89524.0,9226.0
162,64070.0,7913.0
163,81805.0,8321.0
164,87979.0,8552.0
165,80018.0,7679.0
166,103059.0,8179.0
167,78559.0,8010.0
168,86480.0,8078.0
169,91046.0,7382.0
170,101530.0,8020.0
171,78513.0,8398.0
172,99305.0,9161.0
173,90082.0,8767.0
174,82148.0,9723.0
175,93697.0,7386.0
176,91592.0,8698.0
177,85198.0,8147.0
178,90558.0,9752.0
179,86917.0,7353.0
180,90908.0,7328.0
181,95297.0,7520.0
182,102688.0,6301.0
183,80097.0,7579.0
184,107064.0,7393.0
185,74383.0,8120.0
186,88786.0,8273.0
187,94707.0,9501.0
188,92248.0,8760.0
189,85018.0,7538.0
190,88335.0,7281.0
191,86056.0,8394.0
192,85285.0,6944.0
193,96797.0,9465.0
194,92856.0,8944.0
195,84457.0,7625.0
196,97197.0,6629.0
197,92458.0,9083.0
198,96503.0,7908.0
199,95037.0,8990.0
200,73839.0,2870.0
201,80804.0,3264.0
202,85037.0,1941.0
203,85329.0,2725.0
204,81850.0,2240.0
205,89360.0,2305.0
206,77527.0,2263.0
207,84003.0,2154.0
208,85842.0,2519.0
209,88601.0,2168.0
210,89981.0,2608.0
211,77128.0,2480.0
212,74261.0,2404.0
213,93944.0,2137.0
214,87326.0,2269.0
215,79761.0,2802.0
216,95858.0,2700.0
217,85810.0,2109.0
218,93255.0,2540.0
219,85473.0,2801.0
220,99425.0,1832.0
221,97287.0,2717.0
222,83257.0,2235.0
223,91801.0,2728.0
224,89518.0,2195.0
225,94580.0,1778.0
226,78246.0,1849.0
227,89802.0,2519.0
228,92409.0,2604.0
229,72689.0,2138.0
230,76717.0,2755.0
231,70725.0,1835.0
232,83114.0,2474.0
233,90023.0,2016.0
234,95516.0,2239.0
235,85519.0,2519.0
236,96400.0,2156.0
237,75339.0,2346.0
238,73076.0,2903.0
239,84611.0,2269.0
240,87688.0,2834.0
241,84771.0,2048.0
242,70528.0,2712.0
243,84376.0,3077.0
244,75869.0,1511.0
245,89688.0,2181.0
246,87566.0,2731.0
247,78421.0,2419.0
248,81403.0,2648.0
249,77586.0,2258.0
250,84561.0,2535.0
251,91686.0,2438.0
252,78100.0,2967.0
253,88528.0,2602.0
254,81288.0,2635.0
255,79450.0,2335.0
256,84251.0,2305.0
257,77753.0,2327.0
258,81124.0,2658.0
259,76615.0,2332.0
260,98753.0,2616.0
261,85247.0,3330.0
262,80102.0,2848.0
263,86498.0,2370.0
264,84214.0,2980.0
265,83453.0,2337.0
266,89299.0,1685.0
267,90303.0,2097.0
268,81286.0,1752.0
269,80969.0,2359.0
270,83075.0,2507.0
271,68887.0,3171.0
272,74394.0,2631.0
273,94568.0,2412.0
274,96515.0,2832.0
275,83257.0,1616.0
276,89036.0,2594.0
277,87179.0,2808.0
278,106552.0,1909.0
279,92837.0,2958.0
280,84105.0,2635.0
281,78311.0,2334.0
282,73755.0,2753.0
283,86424.0,3408.0
284,79706.0,2573.0
285,75044.0,2599.0
286,80474.0,2316.0
287,77429.0,2160.0
288,96810.0,2832.0
289,91171.0,2158.0
290,84944.0,2529.0
291,95360.0,2309.0
292,85542.0,2692.0
293,78971.0,2633.0
294,95662.0,2915.0
295,88772.0,2296.0
296,77739.0,2392.0
297,83668.0,2108.0
298,78871.0,2322.0
299,75320.0,2651.0
